#{"t_start": 1646992114.1823452, "env_id": "LGW-v0"}
r,l,t
27.0,200,1.078296
12.0,200,1.242793
54.0,200,1.406622
36.0,200,1.571047
75.0,200,1.73401
72.0,200,1.898186
75.0,200,2.061473
42.0,200,2.225034
45.0,200,2.386318
45.0,200,2.549056
63.0,200,3.083807
63.0,200,3.25255
87.0,200,3.421268
48.0,200,3.588882
42.0,200,3.758388
21.0,200,3.937312
42.0,200,4.12476
54.0,200,4.291541
69.0,200,4.459141
84.0,200,4.621528
84.0,200,5.867305
45.0,200,6.036717
90.0,200,6.201212
81.0,200,6.366762
66.0,200,6.535337
60.0,200,6.701016
105.0,200,6.867327
33.0,200,7.030935
75.0,200,7.19608
51.0,200,7.363719
48.0,200,8.039078
54.0,200,8.203012
72.0,200,8.366375
72.0,200,8.530087
72.0,200,8.697508
57.0,200,8.859303
69.0,200,9.022298
78.0,200,9.189017
81.0,200,9.351854
75.0,200,9.517048
75.0,200,10.141765
48.0,200,10.312365
57.0,200,10.477778
63.0,200,10.661145
63.0,200,10.830902
42.0,200,11.016136
51.0,200,11.18601
81.0,200,11.362373
51.0,200,11.53241
63.0,200,11.698793
72.0,200,11.857141
57.0,200,13.102319
54.0,200,13.269755
51.0,200,13.434747
66.0,200,13.598197
63.0,200,13.761181
54.0,200,13.922759
60.0,200,14.085964
63.0,200,14.249075
45.0,200,14.418601
48.0,200,14.583837
57.0,200,15.879865
48.0,200,16.05159
54.0,200,16.214318
72.0,200,16.378048
54.0,200,16.554684
84.0,200,16.723269
60.0,200,16.889176
51.0,200,17.05606
54.0,200,17.221645
48.0,200,17.386704
60.0,200,18.70176
81.0,200,18.880523
51.0,200,19.052711
54.0,200,19.232723
63.0,200,19.404079
72.0,200,19.573669
57.0,200,19.741872
66.0,200,19.917269
66.0,200,20.081792
75.0,200,20.24392
60.0,200,21.60358
54.0,200,21.787409
57.0,200,21.95819
57.0,200,22.132049
75.0,200,22.303859
51.0,200,22.477208
54.0,200,22.65034
63.0,200,22.821116
54.0,200,22.991899
72.0,200,23.163415
57.0,200,23.337724
60.0,200,24.683889
57.0,200,24.853649
63.0,200,25.019619
66.0,200,25.185524
57.0,200,25.351771
54.0,200,25.518816
57.0,200,25.685565
57.0,200,25.856446
57.0,200,26.023268
66.0,200,26.190305
66.0,200,27.460356
60.0,200,27.629087
57.0,200,27.798671
57.0,200,27.966128
60.0,200,28.125381
54.0,200,28.290272
60.0,200,28.459664
66.0,200,28.629584
66.0,200,28.797384
66.0,200,28.966241
57.0,200,30.255643
60.0,200,30.426609
63.0,200,30.589613
60.0,200,30.748982
60.0,200,30.910905
54.0,200,31.079845
66.0,200,31.249888
60.0,200,31.420006
63.0,200,31.589648
57.0,200,31.755285
60.0,200,33.097495
54.0,200,33.272143
63.0,200,33.453662
57.0,200,33.62724
66.0,200,33.799948
63.0,200,33.976719
63.0,200,34.152081
63.0,200,34.321741
69.0,200,34.487629
60.0,200,34.64878
60.0,200,34.806758
54.0,200,36.031844
57.0,200,36.198808
63.0,200,36.368552
63.0,200,36.539309
57.0,200,36.717304
60.0,200,36.895862
57.0,200,37.063406
60.0,200,37.240511
66.0,200,37.41694
60.0,200,37.594025
57.0,200,39.101636
57.0,200,39.280384
69.0,200,39.455108
60.0,200,39.634698
60.0,200,39.814935
66.0,200,40.05925
63.0,200,40.515414
57.0,200,40.796638
63.0,200,40.968078
60.0,200,41.141829
57.0,200,42.591297
60.0,200,42.758815
60.0,200,42.920053
57.0,200,43.083764
60.0,200,43.248052
60.0,200,43.415661
60.0,200,43.580638
60.0,200,43.744226
63.0,200,43.90618
63.0,200,44.073676
60.0,200,45.566688
63.0,200,45.760134
60.0,200,45.948373
57.0,200,46.130769
57.0,200,46.303975
57.0,200,46.476501
60.0,200,46.65032
60.0,200,46.856755
60.0,200,47.085843
57.0,200,47.290139
60.0,200,47.463879
60.0,200,49.113619
60.0,200,49.27825
57.0,200,49.45822
66.0,200,49.660545
60.0,200,49.886387
63.0,200,50.0753
57.0,200,50.249488
66.0,200,50.428741
60.0,200,50.607517
60.0,200,50.779223
57.0,200,52.523498
60.0,200,52.700236
63.0,200,52.872682
60.0,200,53.045784
60.0,200,53.215038
60.0,200,53.38186
60.0,200,53.552826
66.0,200,53.725484
60.0,200,53.894268
63.0,200,54.06473
60.0,200,55.785198
60.0,200,55.964961
60.0,200,56.137149
57.0,200,56.309948
60.0,200,56.483326
60.0,200,56.651508
60.0,200,56.820941
60.0,200,56.989276
63.0,200,57.157463
57.0,200,57.328069
63.0,200,59.02514
60.0,200,59.203496
57.0,200,59.366521
63.0,200,59.534339
60.0,200,59.701592
63.0,200,59.862656
60.0,200,60.021719
60.0,200,60.180853
60.0,200,60.343407
57.0,200,60.503466
60.0,200,60.66283
57.0,200,62.244138
60.0,200,62.406049
60.0,200,62.576507
60.0,200,62.745498
60.0,200,62.905584
60.0,200,63.070236
60.0,200,63.242871
60.0,200,63.411866
60.0,200,63.579295
60.0,200,63.74644
60.0,200,65.292695
60.0,200,65.455383
60.0,200,65.622006
60.0,200,65.791998
63.0,200,65.961523
60.0,200,66.132219
60.0,200,66.300275
60.0,200,66.468898
60.0,200,66.638819
63.0,200,66.80799
60.0,200,68.517772
60.0,200,68.689315
66.0,200,68.858677
60.0,200,69.030085
60.0,200,69.202379
63.0,200,69.37048
60.0,200,69.536542
60.0,200,69.703788
60.0,200,69.871505
60.0,200,70.03323
60.0,200,71.753983
60.0,200,71.930778
60.0,200,72.094717
60.0,200,72.256264
60.0,200,72.420567
60.0,200,72.583118
60.0,200,72.745081
60.0,200,72.909988
60.0,200,73.074205
60.0,200,73.242299
60.0,200,73.415892
60.0,200,75.103802
60.0,200,75.269733
60.0,200,75.438787
60.0,200,75.610152
60.0,200,75.782044
60.0,200,75.95364
60.0,200,76.123882
60.0,200,76.295555
60.0,200,76.466065
60.0,200,76.638668
60.0,200,78.365919
63.0,200,78.531652
60.0,200,78.699059
63.0,200,78.866227
60.0,200,79.036157
63.0,200,79.203465
60.0,200,79.377342
60.0,200,79.546449
60.0,200,79.719575
60.0,200,79.886511
57.0,200,81.564243
63.0,200,81.740647
60.0,200,81.911793
63.0,200,82.080626
60.0,200,82.23963
60.0,200,82.398135
60.0,200,82.561774
60.0,200,82.721292
60.0,200,82.880254
60.0,200,83.043497
60.0,200,84.509108
60.0,200,84.693178
60.0,200,84.86896
60.0,200,85.040378
60.0,200,85.223964
60.0,200,85.489435
60.0,200,85.677955
60.0,200,85.846122
60.0,200,86.006872
60.0,200,86.167696
60.0,200,87.881722
60.0,200,88.059082
60.0,200,88.22361
63.0,200,88.389671
60.0,200,88.561787
63.0,200,88.729208
60.0,200,88.895769
60.0,200,89.062213
60.0,200,89.236792
60.0,200,89.40301
60.0,200,89.585924
60.0,200,91.631408
60.0,200,91.808793
60.0,200,91.982885
60.0,200,92.156623
63.0,200,92.346486
60.0,200,92.563629
60.0,200,92.764783
60.0,200,92.937075
60.0,200,93.114052
60.0,200,93.304295
60.0,200,95.231641
60.0,200,95.404212
60.0,200,95.574317
60.0,200,95.745055
60.0,200,95.947412
60.0,200,96.144871
60.0,200,96.339574
60.0,200,96.566739
60.0,200,96.760023
60.0,200,96.93106
60.0,200,99.166523
60.0,200,99.380431
60.0,200,99.56113
60.0,200,99.728084
60.0,200,99.90244
60.0,200,100.077534
60.0,200,100.250071
60.0,200,100.422013
60.0,200,100.598268
60.0,200,100.768806
60.0,200,103.048729
60.0,200,103.241075
60.0,200,103.407526
60.0,200,103.576555
60.0,200,103.757976
60.0,200,103.930701
60.0,200,104.105372
60.0,200,104.279366
60.0,200,104.453676
60.0,200,104.628581
60.0,200,104.808594
60.0,200,106.804476
60.0,200,107.013616
60.0,200,107.186155
60.0,200,107.354869
60.0,200,107.527703
60.0,200,107.700053
60.0,200,107.875098
60.0,200,108.045603
60.0,200,108.215355
60.0,200,108.388478
60.0,200,110.376491
60.0,200,110.544442
60.0,200,110.716007
63.0,200,110.87387
60.0,200,111.053058
60.0,200,111.233598
60.0,200,111.407472
60.0,200,111.585894
60.0,200,111.760777
60.0,200,111.939069
60.0,200,113.902316
60.0,200,114.084844
60.0,200,114.25609
60.0,200,114.419963
60.0,200,114.580713
60.0,200,114.742778
60.0,200,114.904912
60.0,200,115.073417
60.0,200,115.242054
60.0,200,115.424904
60.0,200,117.435362
60.0,200,117.617976
60.0,200,117.780689
60.0,200,117.946936
60.0,200,118.117009
60.0,200,118.28744
60.0,200,118.45659
60.0,200,118.629914
60.0,200,118.80307
60.0,200,118.974037
60.0,200,119.146616
60.0,200,120.972131
60.0,200,121.141673
60.0,200,121.312479
60.0,200,121.481992
60.0,200,121.65175
60.0,200,121.821938
60.0,200,121.992907
60.0,200,122.162906
60.0,200,122.332798
60.0,200,122.502702
60.0,200,124.413815
60.0,200,124.590042
60.0,200,124.773536
60.0,200,124.960508
60.0,200,125.12804
60.0,200,125.298384
60.0,200,125.479729
60.0,200,125.648273
60.0,200,125.813034
60.0,200,125.978056
60.0,200,128.168716
60.0,200,128.35412
60.0,200,128.528156
60.0,200,128.700105
60.0,200,128.876252
60.0,200,129.054205
60.0,200,129.23115
60.0,200,129.410457
60.0,200,129.587382
60.0,200,129.771518
60.0,200,131.975487
60.0,200,132.171588
60.0,200,132.338659
60.0,200,132.502278
60.0,200,132.671274
60.0,200,132.843339
60.0,200,133.024273
60.0,200,133.197068
60.0,200,133.358775
60.0,200,133.541751
60.0,200,133.720358
60.0,200,135.690998
60.0,200,135.860996
60.0,200,136.03366
60.0,200,136.202013
60.0,200,136.372635
60.0,200,136.543554
60.0,200,136.714259
60.0,200,136.890163
60.0,200,137.067595
60.0,200,137.247207
60.0,200,139.395583
60.0,200,139.561776
60.0,200,139.725539
60.0,200,139.88797
60.0,200,140.05796
60.0,200,140.221425
60.0,200,140.384598
60.0,200,140.547541
60.0,200,140.711297
60.0,200,140.873193
60.0,200,142.717326
60.0,200,142.891916
60.0,200,143.066835
60.0,200,143.230974
60.0,200,143.396607
60.0,200,143.577662
60.0,200,143.750885
60.0,200,143.919741
60.0,200,144.117724
60.0,200,144.302485
60.0,200,146.431368
60.0,200,146.610258
60.0,200,146.776452
60.0,200,146.942978
60.0,200,147.105256
60.0,200,147.292623
60.0,200,147.462468
60.0,200,147.62217
60.0,200,147.780356
60.0,200,147.938668
60.0,200,148.098594
60.0,200,149.99439
60.0,200,150.156781
60.0,200,150.321563
60.0,200,150.479021
60.0,200,150.640124
60.0,200,150.805246
60.0,200,150.972601
60.0,200,151.141124
60.0,200,151.313116
60.0,200,151.486472
60.0,200,153.347227
60.0,200,153.515745
60.0,200,153.688023
60.0,200,153.852907
60.0,200,154.021999
60.0,200,154.197216
60.0,200,154.370598
60.0,200,154.537591
60.0,200,154.705075
60.0,200,154.873381
60.0,200,156.70151
60.0,200,156.876646
60.0,200,157.056724
60.0,200,157.231328
60.0,200,157.400646
60.0,200,157.56514
60.0,200,157.729435
60.0,200,157.898797
60.0,200,158.067726
60.0,200,158.236903
